"page_name","funding_entity"
"Mary Glassman","Mary for CT"
"Cheshire, CT Democratic Town Committee","Cheshire Democratic Town Committee"
"Washington, CT Democrats","The Washington Democratic Town Committee, Susan Branson Treasurer"
"Connecticut Term Limits","U.S. Term Limits"
"Mike for 72nd","Mike for 72 Carolyn Mitchell Treasurer"
"John B. Larson","Larson for Congress - Barry Feldman, Treasurer"
"Harry Arora",NA
"John Flynn for State Representative","Flynn 2018"
"Wilton Republican Town Committee","Wilton Republican Town Committee"
"Greenwich RTC","Greenwich RTC, Lauren Rabin Treasurer"
"Angel Cadena","Angel Cadena for Congress"
"Joe Courtney for Congress","Courtney for Congress"
"Joe Courtney","Office of Congressman Joe Courtney"
"Joe Courtney for Congress",NA
"Colchester CT Democratic Town Committee","Colchester Democratic Town Committee, Rosemary Coyle, Treasurer"
"Martha Marx For CT State Senate, District 20","Marx for CT. Dianna Kulmacz, Treasurer. Approved by Martha Marx."
"Jim Himes for Congress","Himes for Congress"
"Ross Tartell for CT State Representative, 125th District","Friends of Ross Tartell. Richard Creeth, Treasurer. Approved by Ross Tartell. "
"Ashley Gaudiano for State Representative","Ashley Gaudiano 2018, Treasurer Heather Miller. Approved by Ashley Gaudiano."
"Zillow – Premier Agent",NA
"Cathy Myers","Cathy for Congress"
"Randy Bryce","Randy Bryce for Congress"
"Beau Liegeois","Beau for Congress"
"Glenn Grothman","Glenn Grothman for Congress"
"Lisa Blunt Rochester","Lisa Blunt Rochester for Congress"
"KWTV - NEWS 9","KWTV News 9"
"Lisa Blunt Rochester",NA
"Krista Griffith For Delaware","Krista Griffith For Delaware"
"Andrew Webb For Congress","Elect Webb"
"Libertarian Party of Washington, D.C.","Bruce Majors, Libertarian for Delegate"
"Bruce Majors, Libertarian for Delegate","Bruce Majors, Libertarian for Delegate"
"Eleanor Holmes Norton for US Congress","Citizens for Norton"
"DC Log Cabin Republicans","Log Cabin Republicans of the District of Columbia, Inc."
"Georgetown Law",NA
"Luke Spencer for Congress","the Luke Spencer Campaign"
"Florida Federation for Children","Florida Federation for Children"
"Chris Hunter for Congress","Chris Hunter for Congress"
"Gator PAC","GatorPAC"
"Wayne Liebnitzky for Congress","Wayne Liebnitzky for Congress"
"Rick Wilson for Polk County Commission","Rick Wilson, Republican for Polk County Commission."
"Engage Miami","Engage Miami"
"Ges Selmont 4 Congress","Selmont4Congress. Message approved by G. Selmont, Democrat."
"Ges Selmont 4 Congress"," Selmont4Congress. Message approved by G. Selmont, Democrat."
"FirstCoast.tv","Our political news/ads are a public service and not paid by anyone."
"Ges Selmont 4 Congress",NA
"Lauren Baer for Congress","Lauren Baer for Congress"
"Floridians for a Fair Shake","Floridians for a Fair Shake"
"Everglades-Trust",NA
"David Shapiro","David Shapiro for Congress"
"Floridians For Clean Water","Floridians For Clean Water"
"Mark Freeman for Congress","the Campaign to Elect Mark Freeman for U.S. Congress District 18 "
"Brian Mast",NA
"Edscampaign","Edward O'Connor"
"561ForwardProgress","561 Forward Progress"
"Becky Koelzer for Florida House","Rebecca Koelzer candidate for FL house District 4"
"Jennifer Zimmerman for Congress",NA
"Votantes Para Un Cambio En La Florida","DCCC. NO AUTORIZADO POR NINGÚN CANDIDATO NI COMITÉ DE CANDIDATO"
"Carlos Curbelo","Carlos Curbelo Congress"
"South Florida For Change","DCCC. Not authorized by any candidate or candidate’s committee."
"Americans for Tax Reform","Americans for Tax Reform"
"American Solutions Action Project","American Solutions Action Project Inc."
"ClearPath Action Fund",NA
"Grimes For Congress","Grimes For Congress"
"Consumer Action for a Strong Economy","Consumer Action for a Strong Economy"
"Niskanen Center","The Niskanen Center"
"Cathy Albro","The Committee to Elect Cathy Albro for Congress"
"Young Evangelicals for Climate Action","Young Evangelicals for Climate Action"
"Progressive Pasta","Jackson Ribler"
"Jerry Taylor","The Niskanen Center"
"RepublicEn","RepublicEn"
"Nicolas Kimaz",NA
"Nicolas Kimaz"," Nicolas Kimaz for Congress, Inc"
"America First Agenda","America First Agenda PAC. Not authorized by any candidate or candidate's committee. "
"Americans for Trump - Broward Chapter","Americans for Trump inc, Americans for Trump-Broward Chapter is an independent club of supporters of President Donald J. Trump. Not paid for by any candidate or candidates committee, Donald J. Trump, The Trump Organization, or the Donald J. Trump Re election campaign in 2020."
"Javier ""Javi"" Manjarres for U.S. Congress","Javier Manjarres for Congress"
"Environmental Coffee House","Environmental Coffee House "
"Tim Canova","Tim Canova For Congress 2018"
"FYI News","FYI NEWS"
"FYI News Español","Demetries Grimes"
"FYI News Español","FYI NEWS"
"Congressman Daniel Webster",NA
"Daniel Webster for Congress",NA
"Congressman Daniel Webster","Congressman Daniel Webster"
"Mariella Smith for County Commission 2018","Mariella Smith, Democrat, for Hillsborough County Commission, Countywide (District 5)."
"Mike Alvarez for State Representative, D-62","Mike Alvarez, Democrat, for Florida House, District 62."
"Realnse.com","Nicolas Bowling"
"Sanjay Patel for Congress","Sanjay Patel for Congress"
"Bill Posey","Friends of Bill Posey"
"Alvin Brown","Alvin for Congress"
"Al Lawson for Congress",NA
"Angelika Purkis","Angelika Purkis for FL District 12, US Congress"
"Angelika Purkis",NA
"Yvonne Hayes Hinson","Yvonne Hayes Hinson for Congress"
"American Patriots PAC","American Patriots PAC. Not authorized by any candidate or candidate’s committee."
"Never Trumper Mike Waltz","John Ward for Congress, Inc."
"Fred Costello For Congress","Fred Costello for Congress"
"Rob Levy for State Senate District 25","Rob Levy for Florida State Senate District 25, Democrat"
"Western Communities of West Palm Beach Democratic Club, Inc.","Western Communities of West Palm Beach Democratic Club"
"Americans for Prosperity -  Florida","Americans for Prosperity"
"Ross Spano","Ross Spano for Congress"
"Neil Combee","Friends of Neil Combee"
"Kristen Carlson for Congress","Kristen Carlson for Congress"
"FogHorn","Fog Horn Reports"
"Danny Kushmer for Congress","Kushmer For Congress"
"Sean Harper For Congress","Sean Harper For Congress"
"Ross Spano",NA
"Maria Elvira Salazar","MARIA ELVIRA SALAZAR FOR CONGRESS"
"FreedomWorks","FreedomWorks for America. Not authorized by any candidate or candidate's committee."
"Donna Shalala for Congress","DCCC/Donna Shalala for Congress"
"Stephen Marks for Congress","Stephen Marks for Congress"
"Darren Soto for Congress","Darren Soto for Congress."
"Bob Rackleff for Congress 2018","Bob Rackleff"
"Brandon Peters for Congress","Brandon Peters for U.S. Congress"
"Brandon Peters for U.S. Congress","Brandon Peters for U.S. Congress"
"Sludge","Sludge Media, Inc."
"Florida Local News",NA
"Congressman Neal Dunn, M.D.","Congressman Neal Dunn, M.D."
"Eddison Walters For U.S. Congress","Eddison Terrance Walters"
"League of Women Voters of Broward County","League of Women Voters of Broward County"
"Eddison Walters For U.S. Congress",NA
"Ted Deutch for Congress"," Ted Deutch For Congress Committee"
"State Representative Cord Byrd","Cord Byrd, Republican, for State House District 11"
"The Rutherford Institute","The Rutherford Institute"
"American Opportunity PAC","American Opportunity PAC. Not authorized by any candidate or candidate's committee."
"Donna Shalala for Congress","Donna Shalala for Congress"
"AARP Florida","AARP Florida"
"Javier Enriquez for State House","Javier Enriquez, Republican, for State Representative."
"Matt Haggman for Congress","Matt Haggman for Congress"
"SAVE Action PAC","SAVE Action PAC - 1951 NW 7th Ave, Ste 600, Miami FL 33136."
"Donna Shalala for Congress",NA
"Gus Bilirakis for Congress",NA
"Ed Hooper for Florida Senate","Ed Hooper, Republican for State Senate"
"Mike Beltran, Conservative Republican for Florida State House District 57","Mike Beltran. Republican, for State House, District 57."
"In Defense of Christians- IDC","In Defense of Christians"
"Chris Sprowls","Paid for by Chris Sprowls Campaign "
"David Holden 2018","Holden 2018"
"Unbiased Journalism & Investigative News Network","Unbiased Journalism & Investigative News Network "
"Val Demings","Val Demings for Congress"
"Joceline Berrios 4 Congress FL4",NA
"FL Panhandle Progressives",NA
"Vote Stacey Klim","Paid for and approved by Stacey Klim for Indian River County School Board District 4"
"David Smith for State Representative","David Smith, Republican, for State Representative"
"Todd Wilcox","A More Perfect Union"
"Orlando Rising","Orlando Rising"
"Lori Fayhee for Lee County School Board 2018","and approved by Lori Fayhee for Lee County School Board District 6"
"Vennia For Congress","Vennia for Congress"
"Moving Tallahassee Forward, Inc.","Sponsored by Moving Tallahassee Forward 8489 Cabin Hill Road Tallahassee, FL 32311"
"Scott Sturgill for Congress","Scott Sturgill for Congress"
"New Jersey Press and Electronic Media Group",NA
"Angie Craig","Angie Craig for Congress"
"Mary Barzee Flores","Mary Barzee Flores for Congress."
"Mary Barzee Flores for Congress","Mary Barzee Flores for Congress"
"Cindy Polo for Florida House District 103","Cindy Polo for State Representative"
"Denise Grimsley","Denise Grimsley, Republican, for Commissioner of Agriculture and Consumer Services."
"Ted Yoho","Ted Yoho for Congress"
"Foundation for Government Accountability","the Foundation for Government Accountability"
"Judson Sapp",NA
"Ferkinhoff for Congress - Indiana 6th District","Ferkinhoff2018"
"Judson Sapp","Judson Sapp for Congress"
"Tom Wells for Congress","Tom Wells 2018"
"Colleen Hanabusa","Hanabusa for Governor"
"Joe Kaufman for Congress","Joe Kaufman, Republican, for U.S. Congress, Florida – District 23"
"Gayle Harrell","Gayle Harrell, Republican, for Florida Senate District 25"
"Donna Pilger Korn","Donna Korn for Broward School Board"
"Carlos Reyes for Congress","Carlos J. Reyes for Congress Committee, Inc. "
"Elect Cliff Brown",NA
"The Spirit of '76",NA
"Delores Johnson for FL State House Dist. 84","Delores Hogan Johnson for Florida House District 84, Democrat"
"National Horizon Action","National Horizon. Not authorized by any candidate or candidate's committee."
"Debbie Mucarsel-Powell","Debbie for Congress"
"Florida Keys Democrats","Florida Keys Democrats"
"Debbie Mucarsel-Powell","Debbie for Congress and DCCC"
"Rally for Our Rights Manasota","Cynthia Clark"
"Ron DeSantis","Ron DeSantis, Republican, for Governor. "
"Matt Gaetz","Friends of Matt Gaetz"
"Cris Dosev","Cris Dosev for Congress"
"South Palafox Group, LLC","South Palafox Group"
"White Coat Waste Project",NA
"Phil Ehr for Congress","Ehr for Congress"
"Port St Lucie Homes and Lifestyle",NA
"Greg Steube","Greg Steube Congressional Committee"
"Concerned Veterans for America Florida","Concerned Veterans for America "
"Julio Gonzalez for Congress","Julio Gonzalez for Congress"
"All-City Solutions","Donn Scott Jr"
"Andrew Learned for Congress","Andrew Learned for Congress"
"South Lake Democratic Club",NA
"Nancy Soderberg for FL Congress District 6","Soderberg for Congress"
"Nancy Soderberg for FL Congress District 6","Nancy Soderberg for Congress."
"Georgette Dumont for Jacksonville Beach City Council, Seat 5, District 2","Georgette Dumont for Jacksonville Beach City Council, Seat 5, District 2"
"Francis Rooney","Rooney for Congress"
"Congressman Francis Rooney",NA
"Bottom Line With Boris Epshteyn","Sinclair Broadcast Group"
"Congressman Francis Rooney","official funds authorized by the House of Representatives."
"Mario Diaz-Balart","Mario Diaz-Balart for Congress"
"Cheryl Grieb For Osceola","Cheryl Grieb, Democrat, for Osceola County Commission District 4"
"Congressman Darren Soto: Our Progressive Champion","Progress Tomorrow, Inc. Not authorized by any candidate or candidate's committee."
"Latino Victory","Latino Victory Fund"
"LaTrice Moore for Polk County School Board- District 3","LaTrice Moore for Polk County School Board"
"Hispanic Federation","Hispanic Federation"
"Darren Soto for Congress",NA
"Vamos4PR Action","SEIU 32BJ."
"West Orlando News Online","the West Orlando News"
"Joe Kaufman for Congress",NA
"Stephanie Murphy for Congress","Stephanie Murphy for Congress"
"Scott Sturgill for Congress","Scott Strugill for Congress"
"Central Florida Post","Central Florida Post"
"U.S. Congresswoman Stephanie Murphy",NA
"Puerto Rican Hispanic Chamber","Puerto Rican Hispanic Chamber of Commerce"
"NUNYO & COMPANY","Nunyo Demasio"
"Shak Hill","Shak Hill for Congress, Inc."
"Shak Hill",NA
"Yuba County Supervisor Randy Fletcher",NA
"Yuba County Supervisor Randy Fletcher","Randy Fletcher for Supervisor 2018"
"Borough of Quakertown",NA
"The Public Service Party","Public Service Party"
"Chuck Enderlin for Congress",NA
"Carolyn Bourdeaux for Congress","Carolyn for Congress"
"Beth Moore for GA House 95","Friends of Beth Moore, LLC"
"Carolyn Bourdeaux for Congress",NA
"O’Donnell for Congress","O'Donnell for Congress"
"Fort Bend County Republican Party","180 Messaging"
"Karen Handel","Handel for Congress, Inc."
"Lucy McBath for Congress","Friends of Lucy McBath"
"Geoff Duncan, Conservative for Lt. Gov","Geoff Duncan for Georgia"
"Bobby Kaple",NA
"Ellen Diehl for Georgia HD 81","Diehl For Georgia"
"UltraViolet","UltraViolet PAC, not authorized by any candidate or candidate’s committee"
"Matiella for Congress",NA
"Angie Craig",NA
"Richard Hightower","Pol. Adv. Paid for by the Richard Hightower Campaign, Allen Hightower, Campaign Treasurer in Compliance with the Judicial Campaign Fairness Act."
"Deborah Gonzalez for GA State House Rep District 117","Deborah Gonzalez for GA"
"Marisue Hilliard for GA State Senate District 46","Campaign to Elect Marisue Hilliard for Georgia State Senate District 46"
"El-Mahdi Holly for GA House111","CommIttee to Elect El-Mahdi Holly"
"Tabitha Johnson-Green for Congress",NA
"Flynn D. Broady Jr.","Flynn Broady for Congress Campaign"
"Francys Johnson for Congress","Francys Johnson for Congress"
"Francys Johnson for Congress",NA
"Georgia Blue Politics","Georgia Blue Politics"
"Otha Thornton For Georgia State School Superintendent","The Committee to Elect Otha Thornton"
"Chuck Payne - GA State Senate, SD 54",NA
"Clila- Coalición De Líderes Latinos","CLILA-Coalicion de Lideres Latinos- Latino Leaders Coalition"
"Energy Citizens","Energy Citizens"
"Lisa Ring for Congress","The Committee To Elect Lisa Ring"
"Congressman Buddy Carter","by the Office of Congressman Buddy Carter"
"Barry Loudermilk","Loudermilk for Congress"
"Indivisible Lumpkin","Indivisible Lumpkin"
"Doug Collins",NA
"Doug Collins","Doug Collins for Congress"
"Julie Jordan for Georgia","The Committee to Elect Julie Jordan"
"Chatham County Democratic Committee - CCDC","The Chatham County Democratic Committee"
"I have a Dream- 2019 Rev Dr. Martin Luther King Parade","Unity in the Community"
"Lisa Ring for Congress",NA
"The Party of Reason and Progress (PORP)","The Party of Reason and Progress, a 527 political organization, through its Facebook-authorized executive staff."
"Dagen For Senate","The Committee To Elect Dagen For Senate"
"Rob Woodall","Rob Woodall for Congress"
"North Metro Young Republicans","North Metro Young Republicans"
"Everytown for Lucy McBath","Everytown for Gun Safety Action Fund"
"Everytown for Lucy McBath",NA
"Lucy McBath for Congress",NA
"Black Church PAC","New Nation Rising"
"Sarah Riggs Amico","Sarah Riggs Amico for Lt. Governor "
"EllynJeager4ga","Ellyn4GA"
"Dine with Dems","a City Precinct Captain for Sandy Springs under the North Fulton Democrats"
"The BROWN Report","Ronald Brown"
"David Ulmer for Liberty","Ulmer for NC"
"Chris Clemmons for U.S. Congress","Clemmons for Kansas"
"United Tea Party of Georgia","United Tea Party of Georgia"
"Gregorio Kilili Camacho Sablan","Kilili Sablan"
"Sarah Riggs Amico",NA
"Congressman Hank Johnson","Office of Congressman Hank Johnson"
"Jody Hice","Jody Hice for Congress"
"Peterson 4 Henry","Committee to Elect Pete Peterson"
"Carolyn Adams & Associates",NA
"Georgia Right to Life","Georgia Right to Life"
"Public Service Proud","Public Service Proud"
"Henry Holt",NA
"Henry Holt","Henry Holt and Company"
"Newton Dems","Newton County Democratic Committee"
"Betsy Holland for Georgia","Betsy Holland for Georgia"
"Jozmond Black for State Representative",NA
"Brendan Kelly for Congress","Brendan Kelly for Southern Illinois."
"Keith L. Magee",NA
"Winchester Democratic Town Committee","Winchester Democratic Town Committee"
"Team46","Friends of Team 46 Slate. Chris Madaio, Treasurer"
"Deborah Gonzalez for GA HD 117","Deborah Gonzalez for GA"
"Josh McCall - McCall for All","Campaign to Elect Josh McCall"
"Habersham County GA Democrats","Habersham County Democratic Committee"
"Josh McCall - McCall for All","The Campaign to Elect Josh McCall"
"Cowen for Congress",NA
"Bill Lightle for Georgia Senate District 16","The Committee to Elect Bill Lightle"
"Doris for Congress","DC Doris for Congress Committee Vicky Ganacias Borja, Treasurer P.O. Box 3060, Haga?tn?a, Guam 96932"
"National Whistleblower Center",NA
"Ed Case","Case For Congress"
"The Blue Hawaii Podcast","Josh Michaels"
"Texans for Lawsuit Reform","TLR"
"Tulsi Gabbard","Tulsi for Hawai'i"
"Brenda Ford For Hawaii Senate District 3","Ford for the People, 81-950 Makahiki Lane, Captain Cook, HI 96704"
"Mark Osmack","Osmack for Missouri"
"Minority Veterans of America",NA
"Mary D. Wagner for HI State House Dist. 8","Friends of Mary Wagner"
"Organization for Minorities of India","Friends of OFMI"
"Vote Kauanoe Batangan","Friends of Kauanoe Batangan"
"Vote Bronsten Kossow","Friends of Bronsten Kossow"
"Mal Hyman for US Congress","Mal Hyman For Congress"
"Cam Cavasso For Congress","Cam 4 Congress, PO Box 1010 Waimanalo, HI 96795"
"Cam4congress","Cam 4 Congress, PO Box 1010 Waimanalo, HI 96795"
"Mat Erpelding for Idaho","Mat Erpelding for District 19, Gail Bray -- Treasurer"
"Bannock County Democrats","Bannock County Democrats"
"Idaho Democratic Party","Idaho Democratic Party. LeRoy Hayes, Treasurer."
"Jim Bratnober For Idaho","the Committee to Elect Jim Bratnober - Laura Metzler, Treasurer"
"Blaine County Democrats","Blaine County Democrats"
"Idaho Republican Party","The Idaho Republican Party"
"Cumberland County Democratic Party(NCDP)","Cumberland County Democratic Party"
"Cristina McNeil for Congress","Cristina McNeil for Congress, Susan Eastlake, Treasurer"
"Russ Fulcher for Congress","Russ Fulcher for Idaho"
"Kootenai County Democrats","Kootenai County Democrats"
"Adam Kinzinger","Kinzinger for Congress"
"Sara Dady for Congress","Sara Dady for Congress"
"Jim Reilly for Will County Sheriff","Citizens to Elect James Reilly"
"Assyrian GOP","Joseph Tamraz"
"A Better Illinois","DCCC. (202) 863-1500 . Not authorized by any candidate or candidate’s committee."
"The Coalition for a Better Illinois 6th","The Coalition for a Better Illinois 6th (CBIL6), a network of grassroots groups across the 6th Congressional District of Illinois who share a core set of values based on the beliefs that people in the United States deserve equal and fair treatment and that a successful democracy requires an informed and engaged public."
"Sean Casten for Congress","Casten for Congress"
"Fox 32 Chicago",NA
"Women's March Chicago",NA
"The Coalition for a Better Illinois 6th",NA
"The Bolingbrook Babbler","The Bolingbrook Babbler"
"Peter Roskam","official funds authorized by the House of Representatives"
"Americans for Prosperity Illinois","Americans for Prosperity"
"NARAL Pro-Choice Illinois","NARAL Pro-Choice America. "
"Peter Roskam",NA
"Progressive Indivisible Berwyn",NA
"Sean Casten for Congress",NA
"Ald. Edward M. Burke - 14th Ward","Friends of Edward M. Burke "
"State Representative Luis Arroyo",NA
"Doug Jameson for State Representative 113th District","Friends of Jameson"
"Mike Bost",NA
"Liberal Lauren Underwood","Randy Hultgren for Congress"
"Lauren Underwood for Congress","Lauren Underwood for Congress"
"ResistryPAC","ResistryPAC; not authorized by any candidate or any candidate's committee."
"Peter Janko State Central Committeeman 14th Congressional District","Peter Janko for Illinois"
"Randy Hultgren","Randy Hultgren for Congress"
"IL 14 UNITED","Illinois 14 Alliance. Not authorized by any candidate or candidate's committee."
"Nancy Zettler for Illinois","Friends of Nancy Zettler"
"IL-14 Get the Facts","WOMEN VOTE!, 855-667-5900. Not authorized by any candidate or candidate's committee."
"Two Broads Talking Politics Podcast",NA
"Lauren Underwood for Congress",NA
"GoodWerk","GoodWerk"
"GoodWerk",NA
"Dan Caulkins for Illinois State Representative","Committe to Elect Dan Caulkins"
"Seth McMillan for State Senate","Friends for Seth McMillan"
"Raja Krishnamoorthi - Congressman, IL-8","official funds authorized by the House of Representatives"
"Kevin B. Morrison for Cook County Commissioner","Friends of Kevin Morrison"
"The Democratic Party of DuPage County","The Democratic Party of DuPage County"
"Bushra Amiwala","Amiwala for Cook County Board"
"Greg Hart","Citizens for Greg Hart"
"Help Lynn Win","Help Lynn Win "
"Raja for Congress","Friends of Raja for Congress. Approved by Raja Krishnamoorthi."
"Raja for Congress","Friends of Raja for Congress"
"Tom Chlystek For Illinois 82nd State Rep","Friends of Tom Chlystek"
"Oak Park Call to Action","Steve Krasinsky"
"Save EPA","Save EPA"
"Black & Brown Babes Collective",NA
"Volunteers for Shimkus","Volunteers for Shimkus."
"Kevin Gaither for Congress","Friends of Kevin Gaither"
"Allen Jones for Sheriff","Citizens for Allen E Jones for Sheriff"
"Justin Hanson for Congress","Justin Hanson for Congress"
"Southwestern Illinois Democratic Women",NA
"Perros En Acción",NA
"Side Street Studio Arts",NA
"Janice Schakowsky","Jan Schakowsky for Congress"
"Alzheimer's Association Illinois Advocacy",NA
"Barry Bass Mayor of Lincolnwood",NA
"Oakton Community College",NA
"John Elleson for U.S. Congress","John Elleson for Congress"
"Janice Schakowsky","Schakowsky for Congress"
"Mike Quigley","Quigley for Congress"
"Chicago Committee Against War and Racism","Chicago Committee Against War and Racism"
"The News with Maggie Smith","The News* with Maggie Smith"
"Monroe County Democrats - IL","Monroe County Democratic Party (Illinois) "
"Democratic Party of Williamson County","Williamson County Democratic Central Committee"
"Nick Gailius for Sheriff","Friends of Nick Gailius"
"Jefferson County IL Democrats","Jefferson County Democratic Central Committee"
"Kevin Gaither for Congress",NA
"Laura Ellman For Senate","Ellman for IL Senate D21"
"Indivisible DuPage","Indivisible DuPage.  We believe an active and educated citizenry leads to a healthy progressive democracy.  "
"Rachel Ventura for County Board District 9","Elect Rachel Ventura"
"Julie Parrish for Oregon District 37","Friends of Julie Parrish"
"Family Equality Council","Family Equality Council"
"LaSalle County Democrats","LaSalle County Democratic Central Committee"
"Boone County IL Democrats","the BCDCC of Illinois"
"DeKalb County Illinois Democratic Party","The DeKalb County Illinois Democratic Pary"
"Wayne Baker Brooks",NA
"John Elleson for U.S. Congress",NA
"Congressman Brad Schneider","Congressman Brad Schneider"
"Congressman Brad Schneider",NA
"Vernon Township Democrats","Vernon Township Democrats"
"Alzheimer's Association Illinois Advocacy","Alzheimer's Association Illinois Chapter"
"Brad Schneider","Schneider for Congress"
"John C. Ackerman for Tazewell County Clerk","John C. Ackerman for Tazewell County Clerk"
"Darin LaHood","LaHood for Congress"
"Congressman Randy Hultgren","the Office of Congressman Randy Hultgren"
"Tom Weber for State Representative","Citizens to Elect Tom Weber: A copy of our report filed with the State Board of Elections is (or will be) available on the Board's o?cial website or for purchase from the State Board of Elections, Springfield, Illinois., "
"Western Kane County Republican Organization","Gary Daugherty"
"Elissa Slotkin","Elissa Slotkin for Congress"
"Nick Hyde for Illinois","Friends of Nick Hyde"
"Nick Hyde for Illinois",NA
"Jake Castanza","the Friends of Jake Castanza"
"LaKeisha Purchase Capital Township Trustee","LaKeisha Purchase"
"Nikita Richards for McLean County Clerk","Friends of Nikita Richards"
"Rock Island County Democrats","the Rock Island County Democratic Central Committee and not authorized by any candidate or candidate's committee."
"Dempsey for Judge","Friends of Ann Dempsey"
"McLean County Democrats","McLean County Democrats"
"Aftab for Congress","Aftab for Ohio"
"Cheri Bustos","Friends of Cheri Bustos"
"Conservative Corps","Brigade"
"Chupack for Judge","Joel Chupack for Judge"
"Illinois Republican Party","the Illinois Republican Party and not authorized by any candidate or candidate's committee. Illinois.GOP"
"Macon County Democrats","Macon County Democrats"
"Tony DelGiorno","Friends of Tony DelGiorno. "
"Dillon Clark for State Representative","Team Clark"
"DeWitt County IL Democratic Party","DeWitt County Democratic Central Committee"
"Betsy Dirksen Londrigan","Betsy Dirksen Londrigan For Congress"
"Andy Manar","Friends of Andy Manar"
"Shawnee Green Party","The Shawnee Green Party"
"Pete Visclosky for Congress",NA
"Pete Visclosky for Congress","Visclosky for Congress"
"Mel Hall","Mel Hall for Congress "
"Mel Hall's D.C. Home","Walorski for Congress"
"Representative Trey Hollingsworth","official funds authorized by the House of Representatives."
"Trey Hollingsworth","Trey for Congress."
"HoosierNinth","Frank Z Riely Jr"
"Representative Trey Hollingsworth",NA
"Liz for Indiana",NA
"Liz for Indiana","Liz for Indiana"
"Trey Hollingsworth","Trey for Congress"
"Trey Hollingsworth",NA
"William Tanoos for Congress",NA
"John Aguilera for Indiana","Aguilera for Indiana"
"18 for 18","Posey County Democrats"
"Congressman André Carson","official funds authorized by the House of Representatives"
"Wayne Harmon for U.S. Congress (IN-7th)","Committee to Elect Gunny Harmon"
"Tobi Beck 4 Indiana","Beck 4 Indiana"
"Shipley For Indiana","Shipley For Indiana"
"Indiana Stonewall Democrats","Indiana Stonewall Democrats"
"Jackie Walorski","Walorski for Congress, Inc. "
"Susan Brooks","FRIENDS OF SUSAN BROOKS"
"Wayne Harmon for U.S. Congress (IN-7th)","Committee to Elect Wayne Harmon"
"Courtney Tritch","Tritch for Congress"
"Courtney Tritch",NA
"Bartholomew County Democratic Party","Bartholomew County Democratic Party"
"Jeannine Lee Lake for Indiana",NA
"Wayne County Indivisible Public Page","Adults in the room"
"Protect The Harvest","Protect The Harvest"
"Mark Strauss for US Congress","Mark Strauss For Congress"
"David Young","Young for Iowa, Inc."
"David Young Wrong for Iowa","DCCC. 430 S. Capitol St SE, Washington, DC 20003. Not authorized by any candidate or candidate’s committee. "
"Growth Energy","Growth Energy."
"David Young",NA
"Progress Iowa",NA
"Progress Iowa","Progress Iowa"
"Rep. David Young","the official office of Congressman Young"
"Roxanne Conlin",NA
"Oklahoma Young Republicans","Oklahoma Young Republicans"
"The Genetic Literacy Project",NA
"Hirsh Singh","Singh for Congress"
"Democrats","DCCC"
"Govern For California","Govern for California "
"Scholten4Iowa","Scholten4Iowa Campaign Committee"
"Story County Democrats of Iowa","Story County Democrats of Iowa"
"Scholten4Iowa",NA
"Polk County Democrats","Paid for by Polk County Democratic Party"
"Hardin County Iowa Democrats","Hardin County Iowa Democrats"
"Dr. Christopher Peters","Peters for Congress"
"Women Vote IA-03","WOMEN VOTE!"
"Claire Celsi - Candidate for IA Senate District 21","Paid for by Claire Celsi for Iowa Committee"
"Madison County Iowa Democrats","Madison County Iowa Democratic Central Committee"
"Iowa GOP","the Republican Party of Iowa. Not authorized by any candidate or candidate committee. "
"Guthrie County Democrats",NA
"Eddie J. Mauro",NA
"Abby Finkenauer for Congress","Finkenauer for Congress"
"Iowa Conservative Union - ICU","Daniel W Kauffman Jr for the Iowa Conservative Union and not paid for or by and other Polictial Action Committe or Organization"
"Howard County Iowa Democrats","Laura Hubka"
"Clayton County Democrats","Clayton County Iowa Democrats"
"Heritage Action for America","Heritage Action for America and not authorized by any candidate or candidate’s committee"
"Representative John H. Wills","John H. Wills"
"Vote For Kansas Values","DCCC. (202) 863-1500 . Not authorized by any candidate or candidate’s committee."
"Paul Davis","Paul Davis for Kansas"
"Kansans For Life Political Action Committee","Kansans for Life PAC; Claire Schulte, Treasurer"
"Steve Watkins for Congress","THE COMMITTEE TO ELECT STEVE WATKINS"
"Lt. Colonel Steve Fitzgerald - Ret.","Fitzgerald for Congress, Inc."
"Kansans for Life","K. C. Kansans for Life, Inc., Melanie Bacon, Treasurer"
"Dennis Pyle","Pyle for Congress"
"Kansans Can Do Anything PAC","Kansans Can Do Anything PAC."
"Steve Watkins for Congress",NA
"Yoder Wrong for Kansas","DCCC, 430 S. Capitol Street, S.E. Washington, D.C. 20003. Not authorized by any candidate or candidate's committee. "
"Sharice For Congress","Sharice for Congress"
"Arden Andersen","Arden Andersen Campaign, Arden Andersen Treasurer, PO Box 274 Olathe, KS 66051"
"Mike McCamon for Kansas","Mike for Kansas Campaign Committee"
"Kevin Yoder",NA
"Green Dragon Room at Bier Station","Bier Station LLC"
"MomsRising.org","MomsRising Together"
"Rui Xu for Kansas - 25th House District","Rui Xu for Kansas | Brad Harris Treasurer"
"Brent Welder for Congress","Brent Welder for Congress"
"Tom Niermann for Congress","Tom Niermann for Congress"
"Women Vote KS-03","WOMEN VOTE!"
"Johnson County Democratic Party","Johnson County, Kansas Democratic Party"
"Haulmark for Kansas","Haulmark for Kansas - Kaitlin Neiger, Campaign Treasurer"
